For events definition screenshots ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Event Name,Description,"Sample button
/URL",Property Name,isMandated,Property Value Type,Property Description,Suggested values (Red colored values are fixed allowed values),Standardisation,DBS/POSB SG PL Full API,SCB SG CC Full API,SCB SG PL Full API,OCBC Bot Service,CI FWD ,CI Etiqa,CI Wizard,Home Loan - TDSR Calculator,Home Loan - Property Tax Calculator,Home Loan - Stamp Duty Calculator,Home Loan - Refinance Calculator,Home Loan - MSR Calculator,Home Loan - Mortgage Calculator,Home Loan - Progressive Payment Calculator,Home Loan - Property Valuation Calculator,Home Loan HK - Mortgage Calculator,Home Loan HK - Property Valuation Calculator,Mortgage Home Page,New Purchase Home Page,Refinance Home Page,"New Listing Service
HK TI",Product Widgets
,,,,affiliateWidgetType,FALSE,string,Type of the widget,"smart-widget,inline-widget,sidebar-widget",,,,,,,,,,,,,,,,,,,,,,,
,,,,source,FALSE,string,Source of the event,"blog-widget,shop",,,,,,,,,,,,,,,,,,,,,,,
,,,,sourceId,FALSE,string,Id of the source,"123(WidgetId, incase of widget)",,,,,,,,,,,,,,,,,,,,,,,
,,,,objectClicked,FALSE,string,Indicates which element was clicked to trigger the event.,"more-details,disclosure-widget",,,,,,,,,,,,,,,,,,,,,,,N.A
8,UserEngagement.ViewedMoreDetails,Tracks click events that navigates the visitor to the details page of the product .Also clicks See all plan details  from more details drop down area  ,,channel,TRUE,string,Product channel,"home-loan,refinancing,home-equity-loan,renovation-loan,
education-loan,car-loan,debt-consolidation-loan,personal-loan,
car-insurance,home-insurance,mortgage-insurance,travel-insurance,
life-insurance,personal-accident-insurance,health-insurance,
maid-insurance,international-health,fixed-deposit,savings-account,
credit-cards,tax-loan,lending-companies-loan,debt-consolidation-plan,banks-loan,blog",Listing and details page,,,,,,,,,,,,,,,,,,,,,travel-insurance,"credit-cards,personal-loan,travel-insurance"
,,,,pageType,TRUE,string,Type of page user landed,"home-page,product-listing,product-details,blog-home-page, 
blog-category-listing, blog-article-details, form-page, login-page,
redirect-page, widgets, thank-you, interstitial-page,lps",,,,,,,,,,,,,,,,,,,,,,,
,,,,language,TRUE,string,Locale of the page,"en,zh-hk",,,,,,,,,,,,,,,,,,,,,,eg 331,integer value greater than or equal to 1
,,,,country,TRUE,string,which market this events happened,"sg,hk,tw,ph,id",,,,,,,,,,,,,,,,,,,,,,eg 4,integer value greater than or equal to 1
,,,,product,TRUE,string,Slug of product,citi-premiermiles-card,,,,,,,,,,,,,,,,,,,,,,,
,,,,productCategory,TRUE,string,Unique Identifier/slug of the product category,best-credit-cards,,,,,,,,,,,,,,,,,,,,,,N/A,integer value greater than or equal to 1
,,,,provider,TRUE,string,"Id of the product provider. Optional, only applies to forms for single products",,,,,,,,,,,,,,,,,,,,,,,,
,,,,listPosition,TRUE,string,The position of the product in the list when the user had clicked to apply. This property only applies when the user is interacting with the button on the listing page,"1, 2, 3, 4",,,,,,,,,,,,,,,,,,,,,,Yes,integer value greater than or equal to 1
,,,,isSponsored,TRUE,string,Flag to indicate whether the product is a sponsored product or not,"true, false",,,,,,,,,,,,,,,,,,,,,,Yes,"true,false"
,,,,isRecommended,TRUE,string,Flag to indicate whether the product is a recommended product by Moneysmart,"true, false",,,,,,,,,,,,,,,,,,,,,,N/A,"true,false"
,,,,isPaid,TRUE,string,"Flag to indicate whether the product is a paid product or not. In the legacy system, it is referred to as ""has partnerships""","true, false",,,,,,,,,,,,,,,,,,,,,,N/A,"true,false"
,,,,objectClicked,TRUE,string,"Indicates which HTML element was clicked to trigger the event. The value for this property should be set in the ""Name"" attribute of the HTML element.  

Eg. <a name=""some-text-link"">some text</a>

This property only applies if there are multiple ways for a user to trigger this action","title-link, logo-link, details-page-link, get-more-details-link, read-more,see-all-plan-details",,,,,,,,,,,,,,,,,,,,,,get-more-details-link,pre-defined by data team according to Heng Gek
,,,,pageReferrer,TRUE,string,The page that the user was previously on before he landed on the current page,https://www.moneysmart.sg/credit-cards,,,,,,,,,,,,,,,,,,,,,,Yes,ignored here because segment itself tracks referral link according to Heng Gek
,,,,pagePath,TRUE,string,The path of the current page that the user is on,/credit-cards/citibank-cash-back,,,,,,,,,,,,,,,,,,,,,,Yes,ignored here because segment itself tracks pagepath according to Heng Gek
